Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice
84,20,80,8892,5,5,1960,1960,66,1065,1065,1,1,3,1,6,0,1974,2,461,74,0,7,2007,126500
85,80,NA,8530,7,5,1995,1996,22,384,1474,2,1,3,1,7,1,1995,2,400,120,72,5,2009,168500
86,60,121,16059,8,5,1991,1992,284,1288,2417,2,1,4,1,9,1,1991,2,462,127,82,4,2006,260000
87,60,122,11911,6,5,2005,2005,0,684,1560,2,1,3,1,6,1,2005,2,400,100,38,3,2009,174000
88,160,40,3951,6,5,2009,2009,76,612,1224,2,1,2,1,4,0,2009,2,528,0,234,6,2009,164500
89,50,105,8470,3,2,1915,1982,0,1013,1526,1,0,2,1,6,0,NA,0,0,0,0,10,2009,85000
90,20,60,8070,4,5,1994,1995,0,990,990,1,0,3,1,5,0,NA,0,0,0,0,8,2007,123600
91,20,60,7200,4,5,1950,1950,0,0,1040,1,0,2,1,4,0,1950,2,420,0,29,7,2006,109900
92,20,85,8500,5,3,1961,1961,203,1235,1235,1,0,2,1,6,0,1961,2,480,0,0,12,2006,98600
93,30,80,13360,5,7,1921,2006,0,876,964,1,0,2,1,5,0,1921,2,432,0,0,8,2009,163500
94,190,60,7200,6,6,1910,1998,0,1214,2291,2,0,4,2,9,1,1900,2,506,0,0,11,2007,133900
95,60,69,9337,6,5,1997,1997,0,824,1786,2,1,3,1,7,0,1997,2,684,0,162,5,2007,204750
96,60,NA,9765,6,8,1993,1993,68,680,1470,2,1,3,1,6,1,1993,2,420,232,63,4,2009,185000
97,20,78,10264,7,5,1999,1999,183,1588,1588,2,0,3,1,6,0,1999,2,472,158,29,8,2006,214000
98,20,73,10921,4,5,1965,1965,48,960,960,1,0,3,1,6,0,1965,1,432,120,0,5,2007,94750
99,30,85,10625,5,5,1920,1950,0,458,835,1,0,2,1,5,0,1920,1,366,0,0,5,2010,83000
100,20,77,9320,4,5,1959,1959,0,950,1225,1,1,3,1,6,0,NA,0,0,352,0,1,2010,128950
101,20,NA,10603,6,7,1977,2001,28,1610,1610,2,0,3,1,6,2,1977,2,480,168,68,2,2010,205000
102,60,77,9206,6,5,1985,1985,336,741,1732,2,1,3,1,7,1,1985,2,476,192,46,6,2010,178000
103,90,64,7018,5,5,1979,1979,0,0,1535,2,0,4,2,8,0,1979,2,410,0,0,6,2009,118964
104,20,94,10402,7,5,2009,2009,0,1226,1226,2,0,3,1,6,0,2009,3,740,0,36,5,2010,198900
105,50,NA,7758,7,4,1931,1950,600,1040,1818,1,1,4,1,7,2,1951,1,240,0,0,6,2007,169500
106,60,75,9375,8,5,2003,2004,768,1053,1992,2,1,3,1,9,1,2003,2,648,140,45,8,2008,250000
107,30,60,10800,4,7,1885,1995,0,641,1047,1,0,2,1,6,0,1954,1,273,0,0,8,2007,100000
108,20,50,6000,5,5,1948,1950,0,789,789,1,0,2,1,5,0,1948,1,250,0,0,4,2008,115000
109,50,85,8500,5,7,1919,2005,0,793,1517,2,0,3,1,7,0,NA,0,0,0,0,8,2007,115000
110,20,105,11751,6,6,1977,1977,480,1844,1844,2,0,3,1,7,1,1977,2,546,0,122,1,2010,190000
111,50,75,9525,6,4,1954,1972,0,994,1855,2,0,4,1,7,0,1954,1,325,182,0,10,2006,136900
112,80,NA,7750,7,5,2000,2000,0,384,1430,2,1,3,1,7,1,2000,2,400,180,0,4,2010,180000
113,60,77,9965,7,5,2007,2007,220,1264,2696,2,1,4,1,10,1,2007,3,792,120,184,10,2007,383970
114,20,NA,21000,6,5,1953,1953,184,1809,2259,2,0,3,1,7,2,1953,2,450,166,120,10,2007,217000
115,70,61,7259,6,8,1945,2002,0,1028,2320,2,1,3,1,9,1,1945,1,180,224,0,7,2007,259500
116,160,34,3230,6,5,1999,1999,1129,729,1458,2,1,2,1,5,1,1999,2,440,0,32,6,2007,176000
117,20,NA,11616,5,5,1962,1962,116,1092,1092,1,0,3,1,6,1,1962,1,288,0,20,9,2009,139000
118,20,74,8536,5,5,2006,2007,0,1125,1125,1,1,2,1,5,0,2007,2,430,80,64,4,2007,155000
119,60,90,12376,7,5,1990,1990,0,1673,3222,3,0,5,1,11,2,1990,3,594,367,0,5,2010,320000
120,60,65,8461,6,5,2005,2006,0,728,1456,2,1,3,1,8,1,2005,2,390,0,24,7,2006,163990
121,80,NA,21453,6,5,1969,1969,0,938,988,1,0,1,1,4,2,1969,2,540,0,130,10,2006,180000
122,50,50,6060,4,5,1939,1950,0,732,1123,1,0,3,1,4,0,1979,1,264,0,0,6,2007,100000
123,20,75,9464,6,7,1958,1958,135,1080,1080,1,0,3,1,5,0,1958,1,288,0,0,6,2008,136000
124,120,55,7892,6,5,1993,1993,0,1199,1199,2,0,2,1,5,0,1993,2,530,0,63,3,2008,153900
125,20,48,17043,6,5,1979,1998,0,1362,1586,2,0,3,1,7,1,1979,2,435,192,0,1,2009,181000
126,190,60,6780,6,8,1935,1982,0,520,754,1,0,2,1,5,0,NA,0,0,53,0,6,2006,84500
127,120,NA,4928,6,5,1976,1976,0,1078,958,2,0,2,1,5,1,1977,2,440,0,205,2,2007,128000
128,45,55,4388,5,7,1930,1950,0,672,840,1,0,3,1,5,1,NA,0,0,0,0,6,2007,87000
129,60,69,7590,6,5,1966,1966,266,660,1348,1,1,3,1,6,1,1966,2,453,188,108,7,2006,155000
130,20,69,8973,5,7,1958,1991,85,1008,1053,1,1,3,1,6,0,1998,2,750,0,80,7,2006,150000
131,60,88,14200,7,6,1966,1966,309,924,2157,2,1,4,1,8,2,1966,2,487,105,66,5,2006,226000
132,60,NA,12224,6,5,2000,2000,40,992,2054,2,1,3,1,7,1,2000,2,390,24,48,7,2009,244000
133,20,75,7388,5,6,1959,2002,0,1063,1327,1,0,3,1,7,0,1974,2,624,0,0,7,2007,150750
134,20,NA,6853,8,5,2001,2002,136,1267,1296,2,0,2,1,6,0,2001,2,471,192,25,6,2009,220000
135,20,78,10335,5,6,1968,1993,0,1461,1721,2,1,3,1,7,1,1968,2,440,0,96,7,2006,180000
136,20,80,10400,7,6,1970,1970,288,1304,1682,2,0,3,1,7,1,1970,2,530,98,0,5,2008,174000
137,20,NA,10355,5,5,1967,1967,196,1214,1214,2,0,3,1,5,1,1967,1,318,0,111,7,2007,143000
138,90,82,11070,7,5,1988,1989,70,1907,1959,3,0,5,2,9,0,1989,3,766,0,0,7,2006,171000
139,60,73,9066,8,5,1999,2000,320,1004,1852,2,1,3,1,7,2,1999,3,660,224,106,12,2008,230000
140,60,65,15426,6,5,1997,1997,0,928,1764,2,1,3,1,7,0,1997,2,470,276,99,8,2009,231500
141,20,70,10500,4,5,1971,1971,0,864,864,1,0,3,1,5,1,NA,0,0,0,0,4,2010,115000
142,20,78,11645,7,5,2005,2005,0,1734,1734,2,0,3,1,7,0,2005,2,660,160,24,1,2006,260000
143,50,71,8520,5,4,1952,1952,0,910,1385,2,0,4,1,6,0,2000,2,720,0,0,6,2010,166000
144,20,78,10335,7,5,1999,1999,183,1490,1501,2,0,3,1,6,0,1999,2,577,144,29,6,2009,204000
145,90,70,9100,5,5,1963,1963,336,1728,1728,2,0,6,2,10,0,1963,2,504,0,0,11,2006,125000
146,160,24,2522,6,5,2004,2006,50,970,1709,2,0,3,1,7,0,2004,2,380,0,40,4,2006,130000
147,30,51,6120,5,7,1931,1993,0,715,875,1,0,2,1,5,0,1931,1,180,48,0,11,2009,105000
148,60,NA,9505,7,5,2001,2001,180,884,2035,2,1,3,1,8,1,2001,2,434,144,48,5,2010,222500
149,20,63,7500,7,5,2004,2005,120,1080,1080,1,0,3,1,6,0,NA,0,0,0,0,4,2008,141000
150,50,NA,6240,5,4,1936,1950,0,896,1344,1,0,3,1,7,0,1936,1,240,200,114,4,2006,115000
151,20,120,10356,5,6,1975,1975,0,969,969,1,1,3,1,5,0,1975,2,440,0,0,1,2007,122000
152,20,107,13891,8,5,2007,2008,436,1710,1710,2,0,2,1,6,1,2007,3,866,0,102,1,2008,372402
153,60,NA,14803,6,5,1971,1971,252,825,1993,2,1,4,1,8,1,1971,2,495,0,66,6,2006,190000
154,20,NA,13500,6,7,1960,1975,0,1602,1252,1,0,1,1,4,1,1960,2,564,409,0,3,2008,235000
155,30,84,11340,6,5,1923,1950,0,1200,1200,1,0,4,1,7,0,1923,1,312,0,0,3,2006,125000
156,50,60,9600,6,5,1924,1950,0,572,1096,1,0,2,1,5,0,NA,0,0,0,8,4,2008,79000
157,20,60,7200,5,7,1950,1950,0,0,1040,1,0,2,1,5,0,1950,2,625,0,0,6,2006,109500
158,60,92,12003,8,5,2009,2010,84,774,1968,2,1,4,1,8,1,2009,3,680,0,75,5,2010,269500
159,60,100,12552,7,5,2004,2005,0,991,1947,2,1,3,1,8,1,2004,2,678,0,136,5,2010,254900
160,60,134,19378,7,5,2005,2006,456,1392,2462,2,1,4,1,9,1,2006,2,576,239,132,3,2006,320000
161,20,NA,11120,6,6,1984,1984,0,1232,1232,2,0,3,1,6,0,1984,2,516,0,0,6,2008,162500
162,60,110,13688,9,5,2003,2004,664,1572,2668,2,1,3,1,10,2,2003,3,726,400,0,3,2008,412500
163,20,95,12182,7,5,2005,2005,226,1541,1541,2,0,3,1,7,1,2005,2,532,0,70,5,2010,220000
164,45,55,5500,4,6,1956,1956,0,882,882,1,0,1,1,4,0,NA,0,0,0,0,4,2007,103200
165,40,40,5400,6,7,1926,2004,0,1149,1616,2,0,3,1,5,0,1926,1,216,0,0,10,2007,152000
166,190,62,10106,5,7,1940,1999,0,644,1355,2,0,4,2,6,0,NA,0,0,140,0,9,2008,127500
167,20,NA,10708,5,5,1955,1993,0,1617,1867,1,0,2,1,7,3,1955,1,303,476,0,11,2009,190000
168,60,86,10562,8,5,2007,2007,300,1582,2161,1,1,3,1,8,1,2007,3,789,178,120,11,2007,325624
169,60,62,8244,7,5,2004,2004,0,840,1720,2,1,3,1,7,1,2004,2,440,100,48,5,2007,183500
170,20,NA,16669,8,6,1981,1981,653,1686,1707,2,1,2,1,6,1,1981,2,511,574,64,1,2006,228000
171,50,NA,12358,5,6,1941,1950,0,720,1382,1,1,2,1,7,0,1991,2,660,237,0,5,2007,128500
172,20,141,31770,6,5,1960,1960,112,1080,1656,1,0,3,1,7,2,1960,2,528,210,62,5,2010,215000
173,160,44,5306,7,7,1987,1987,0,1064,1767,2,0,2,1,5,1,1987,2,504,441,35,6,2006,239000
174,20,80,10197,6,5,1961,1961,491,1362,1362,1,1,3,1,6,1,1961,2,504,0,20,6,2008,163000
175,20,47,12416,6,5,1986,1986,132,1606,1651,2,0,3,1,7,1,1986,2,616,192,0,11,2008,184000
176,20,84,12615,6,7,1950,2001,0,1202,2158,2,0,4,1,7,1,1950,2,576,0,29,6,2007,243000
177,60,97,10029,6,5,1988,1989,268,1151,2060,2,1,4,1,8,1,1988,2,521,0,228,9,2007,211000
178,50,NA,13650,5,5,1958,1958,0,1052,1920,2,0,4,1,8,1,1958,2,451,0,0,7,2006,172500
179,20,63,17423,9,5,2008,2009,748,2216,2234,2,0,1,1,9,1,2009,3,1166,0,60,7,2009,501837
180,30,60,8520,5,6,1923,2006,0,968,968,1,0,2,1,5,0,1935,2,480,0,0,7,2007,100000
181,160,NA,2117,6,5,2000,2000,456,756,1525,2,1,3,1,5,1,2000,2,440,0,0,6,2007,177000
182,70,54,7588,7,6,1920,1950,0,793,1802,1,1,4,1,9,1,1920,1,216,0,0,7,2006,200100
183,20,60,9060,5,6,1957,2006,98,0,1340,1,0,3,1,7,1,1957,1,252,116,0,6,2007,120000
184,50,63,11426,7,5,2003,2003,0,1362,2082,2,1,3,1,6,0,2003,2,484,280,238,6,2008,200000
185,50,92,7438,5,8,1908,1991,0,504,1252,1,0,3,1,5,0,1986,2,576,104,0,6,2006,127000
186,75,90,22950,10,9,1892,1993,0,1107,3608,2,1,4,1,12,2,1993,3,840,0,260,6,2006,475000
187,80,NA,9947,7,5,1990,1991,0,1188,1217,2,0,3,1,6,0,1990,2,497,168,27,6,2009,173000
188,50,60,10410,5,7,1916,1987,0,660,1656,2,1,3,1,8,0,1916,1,180,0,0,8,2009,135000
189,90,64,7018,5,5,1979,1979,275,1086,1224,0,2,2,2,6,2,1979,2,528,120,0,6,2009,153337
190,120,41,4923,8,5,2001,2002,0,1593,1593,1,1,0,1,5,1,2001,2,682,0,120,8,2008,286000
191,70,70,10570,8,8,1932,1994,0,853,2727,2,1,3,1,10,2,1932,2,440,0,74,12,2007,315000
192,60,NA,7472,7,9,1972,2004,138,725,1479,1,1,4,1,7,0,1972,2,484,0,32,6,2007,184000
193,20,68,9017,7,5,1999,1999,0,1431,1431,2,0,3,1,6,0,1999,2,666,0,35,9,2009,192000
194,160,24,2522,7,5,2004,2004,50,970,1709,2,0,3,1,7,0,2004,2,380,0,40,5,2006,130000
195,20,60,7180,5,7,1972,1972,0,864,864,1,0,3,1,5,0,1989,1,352,0,0,5,2008,127000
196,160,24,2280,6,6,1976,1976,0,855,1456,2,1,3,1,7,1,1976,2,440,87,0,7,2009,148500
197,20,79,9416,7,5,2007,2007,205,1726,1726,2,0,3,1,8,1,2007,3,786,171,138,9,2007,311872
198,75,174,25419,8,4,1918,1990,0,1360,3112,2,0,4,1,8,1,1918,2,795,0,16,3,2006,235000
199,75,92,5520,6,6,1912,1950,0,755,2229,1,0,5,1,8,0,NA,0,0,0,198,7,2009,104000
200,20,76,9591,8,5,2004,2005,262,1713,1713,2,0,3,1,7,1,2004,3,856,0,26,1,2009,274900
201,20,80,8546,4,5,2003,2004,0,1121,1121,2,0,2,1,5,0,2003,2,440,132,64,3,2010,140000
202,20,75,10125,6,6,1977,1977,0,1196,1279,2,0,3,1,6,2,1980,2,473,238,83,2,2008,171500
203,50,50,7000,6,6,1924,1950,0,617,1310,2,0,2,1,6,0,1924,1,398,0,0,5,2006,112000
204,120,NA,4438,6,5,2004,2004,205,848,848,1,0,1,1,3,1,2004,2,420,149,0,1,2008,149000
205,50,50,3500,5,7,1947,1950,0,720,1284,1,1,2,1,5,0,1948,1,240,0,35,4,2009,110000
206,20,99,11851,7,5,1990,1990,0,1424,1442,2,0,3,1,5,0,1990,2,500,0,34,5,2009,180500
207,20,40,13673,5,5,1962,1962,0,1140,1696,1,1,3,1,8,1,1962,1,349,0,30,3,2007,143900
208,20,NA,12493,4,5,1960,1960,0,1100,1100,1,0,3,1,6,1,1960,1,312,355,0,4,2008,141000
209,60,NA,14364,7,5,1988,1989,128,1157,2062,2,1,3,1,7,1,1988,2,454,60,55,4,2007,277000
210,20,75,8250,6,7,1964,1964,260,1092,1092,1,0,3,1,6,0,1964,2,504,0,0,7,2008,145000
211,30,67,5604,5,6,1925,1950,0,864,864,1,0,2,1,5,0,NA,0,0,0,0,4,2008,98000
212,20,83,10420,6,5,2009,2009,0,1212,1212,2,0,3,1,6,0,2009,2,460,100,22,3,2010,186000
213,60,72,8640,7,5,2009,2009,0,900,1852,2,1,3,1,7,1,2009,2,644,168,108,7,2009,252678
214,20,43,13568,5,5,1995,1995,0,990,990,1,0,3,1,5,0,1996,2,576,224,0,7,2006,156000
215,60,NA,10900,6,7,1977,1977,153,689,1392,1,1,3,1,6,0,1977,1,299,0,36,3,2010,161750
216,20,72,10011,5,6,1957,1996,64,1070,1236,1,0,2,1,6,1,1957,1,447,0,0,5,2006,134450
217,20,65,8450,7,5,2004,2004,266,1436,1436,2,0,3,1,8,0,2004,2,484,139,98,4,2008,210000
218,70,57,9906,4,4,1925,1950,0,686,1328,1,0,3,1,8,0,1940,1,210,0,172,9,2006,107000
219,50,NA,15660,7,9,1939,2006,312,798,1954,1,1,3,1,8,2,1939,2,431,0,119,5,2008,311500
220,120,43,3010,7,5,2005,2006,16,1248,1248,2,0,2,1,5,0,2005,2,438,108,0,3,2006,167240
221,20,73,8990,7,5,2006,2006,0,1498,1498,2,0,2,1,5,0,2006,2,675,351,33,4,2006,204900
222,60,NA,8068,6,5,2002,2002,0,1010,2267,2,1,4,1,8,1,2002,2,390,120,46,12,2009,200000
223,60,85,11475,6,6,1975,1975,0,713,1552,2,1,3,1,6,1,1975,2,434,209,208,2,2006,179900
224,20,70,10500,4,6,1971,1971,0,864,864,1,0,2,1,4,0,1989,2,576,216,0,3,2009,97000
225,20,103,13472,10,5,2003,2003,922,2392,2392,2,0,3,1,8,1,2003,3,968,248,105,6,2009,386250
226,160,21,1680,5,5,1971,1971,142,630,1302,2,1,3,1,6,0,1991,1,280,0,0,5,2009,112000
227,60,82,9950,7,5,1995,1995,290,1203,2520,2,1,4,1,9,1,1995,3,721,224,114,6,2007,290000
228,160,21,1869,6,6,1970,1970,127,483,987,1,1,2,1,5,0,1987,1,280,0,0,9,2008,106000
229,20,70,8521,5,5,1967,1967,0,912,912,1,0,3,1,5,1,1974,1,336,0,0,5,2010,125000
230,120,43,3182,7,5,2005,2006,16,1373,1555,2,0,2,1,7,1,2005,2,430,143,20,5,2009,192500
231,20,73,8760,6,6,1959,1959,220,1194,1194,1,0,3,1,6,0,1959,1,312,0,0,4,2010,148000
232,60,174,15138,8,5,1995,1996,506,1462,2794,2,1,4,1,9,1,1995,3,810,0,146,7,2009,403000
233,160,21,1680,6,5,1972,1972,297,483,987,1,1,2,1,5,1,1972,1,288,0,0,6,2006,94500
234,20,75,10650,5,6,1976,1976,0,894,894,1,0,3,1,5,0,1976,1,308,365,0,2,2010,128200
235,60,NA,7851,6,5,2002,2002,NA,860,1960,2,1,4,1,8,2,2002,2,440,288,48,5,2010,216500
236,160,21,1680,6,3,1971,1971,604,483,987,1,1,2,1,5,0,1971,1,264,0,0,8,2008,89500
